Accession,Main gene name,Main protein name,Other gene names,Other protein names
Q9H4E7,DEF6,DEFI6_HUMAN,IBP,Differentially expressed in FDCP 6 homolog; IRF4-binding protein
Q8TDQ0,HAVCR2,HAVR2_HUMAN,TIM3; TIMD3,Hepatitis A virus cellular receptor 2; T-cell immunoglobulin and mucin domain-containing protein 3; T-cell immunoglobulin mucin receptor 3; T-cell membrane protein 3
P07947,YES1,YES_HUMAN,YES,Tyrosine-protein kinase Yes; Proto-oncogene c-Yes; p61-Yes
P08575,PTPRC,PTPRC_HUMAN,CD45,Receptor-type tyrosine-protein phosphatase C; Leukocyte common antigen; T200
Q13163,MAP2K5,MP2K5_HUMAN,MEK5; MKK5; PRKMK5,Dual specificity mitogen-activated protein kinase kinase 5; MAPK/ERK kinase 5
Q9P1Z0,ZBTB4,ZBTB4_HUMAN,KIAA1538,Zinc finger and BTB domain-containing protein 4; KAISO-like zinc finger protein 1
Q01196,RUNX1,RUNX1_HUMAN,AML1; CBFA2,Runt-related transcription factor 1; Acute myeloid leukemia 1 protein; Core-binding factor subunit alpha-2; Oncogene AML-1; Polyomavirus enhancer-binding protein 2 alpha B subunit; SL3-3 enhancer factor 1 alpha B subunit; SL3/AKV core-binding factor alpha B subunit
P57682,KLF3,KLF3_HUMAN,BKLF,Krueppel-like factor 3; TEF-2; Basic krueppel-like factor; CACCC-box-binding protein BKLF
O15297,PPM1D,PPM1D_HUMAN,WIP1,Protein phosphatase 1D; p53-induced protein phosphatase 1; Protein phosphatase magnesium-dependent 1 delta; Protein phosphatase 2C isoform delta
O00257,CBX4,CBX4_HUMAN,,E3 SUMO-protein ligase CBX4; Chromobox protein homolog 4; Polycomb 2 homolog
Q9UL54,TAOK2,TAOK2_HUMAN,UNQ2971/PRO7431; MAP3K17; PSK1; PSK; KIAA0881,Serine/threonine-protein kinase TAO2; Thousand and one amino acid protein kinase 2; Kinase from chicken homolog C; Prostate-derived sterile 20-like kinase 1
P00441,SOD1,SODC_HUMAN,,Superoxide dismutase [Cu-Zn]; Superoxide dismutase 1
P55199,ELL,ELL_HUMAN,C19orf17,RNA polymerase II elongation factor ELL; Eleven-nineteen lysine-rich leukemia protein
Q9H8M2,BRD9,BRD9_HUMAN,UNQ3040/PRO9856,Bromodomain-containing protein 9; Rhabdomyosarcoma antigen MU-RMS-40.8
Q641Q2,WASHC2A,WAC2A_HUMAN,FAM21A; FAM21B,WASH complex subunit 2A
Q9P2Y5,UVRAG,UVRAG_HUMAN,,UV radiation resistance-associated gene protein; p63
P19484,TFEB,TFEB_HUMAN,BHLHE35,Transcription factor EB; Class E basic helix-loop-helix protein 35
Q9H4L4,SENP3,SENP3_HUMAN,SSP3; SUSP3,Sentrin-specific protease 3; SUMO-1-specific protease 3; Sentrin/SUMO-specific protease SENP3
Q8IYB3,SRRM1,SRRM1_HUMAN,SRM160,Serine/arginine repetitive matrix protein 1; SR-related nuclear matrix protein of 160 kDa; Ser/Arg-related nuclear matrix protein
P51397,DAP,DAP1_HUMAN,DAP1,Death-associated protein 1
Q9NQG5,RPRD1B,RPR1B_HUMAN,C20orf77; CREPT,Regulation of nuclear pre-mRNA domain-containing protein 1B; Cell cycle-related and expression-elevated protein in tumor
Q9UPY5,SLC7A11,XCT_HUMAN,,Cystine/glutamate transporter; Amino acid transport system xc-; xCT; Calcium channel blocker resistance protein CCBR1; Solute carrier family 7 member 11
Q86TB9,PATL1,PATL1_HUMAN,OK/KNS-cl.5,Protein PAT1 homolog 1; Protein PAT1 homolog b; PAT1-like protein 1
O96018,APBA3,APBA3_HUMAN,MINT3; X11L2,Amyloid-beta A4 precursor protein-binding family A member 3; Adapter protein X11gamma; Neuron-specific X11L2 protein; Neuronal Munc18-1-interacting protein 3
Q8NHG8,ZNRF2,ZNRF2_HUMAN,RNF202,E3 ubiquitin-protein ligase ZNRF2; Protein Ells2; RING finger protein 202; RING-type E3 ubiquitin transferase ZNRF2; Zinc/RING finger protein 2
O95747,OXSR1,OXSR1_HUMAN,KIAA1101; OSR1,Serine/threonine-protein kinase OSR1; Oxidative stress-responsive 1 protein
Q9H1K1,ISCU,ISCU_HUMAN,NIFUN,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial; NifU-like N-terminal domain-containing protein; NifU-like protein"
Q9BRS8,LARP6,LARP6_HUMAN,,La-related protein 6; La ribonucleoprotein domain family member 6; Acheron
Q9BPZ7,MAPKAP1,SIN1_HUMAN,MIP1; SIN1,Target of rapamycin complex 2 subunit MAPKAP1; Stress-activated map kinase-interacting protein 1; Mitogen-activated protein kinase 2-associated protein 1
Q9Y6W6,DUSP10,DUS10_HUMAN,MKP5,Dual specificity protein phosphatase 10; Mitogen-activated protein kinase phosphatase 5
Q9C0C7,AMBRA1,AMRA1_HUMAN,KIAA1736,Activating molecule in BECN1-regulated autophagy protein 1
Q5T4S7,UBR4,UBR4_HUMAN,KIAA0462; KIAA1307; RBAF600; ZUBR1,E3 ubiquitin-protein ligase UBR4; 600 kDa retinoblastoma protein-associated factor; N-recognin-4; RING-type E3 ubiquitin transferase UBR4; Retinoblastoma-associated factor of 600 kDa; Zinc finger UBR1-type protein 1
Q9H5H4,ZNF768,ZN768_HUMAN,,Zinc finger protein 768
Q9H063,MAF1,MAF1_HUMAN,,Repressor of RNA polymerase III transcription MAF1 homolog
Q9Y2J4,AMOTL2,AMOL2_HUMAN,KIAA0989,Angiomotin-like protein 2; Leman coiled-coil protein
O95235,KIF20A,KI20A_HUMAN,MKLP2; RAB6KIFL,Kinesin-like protein KIF20A; Rabkinesin-6; Rab6-interacting kinesin-like protein; GG10_2; Mitotic kinesin-like protein 2
Q08345,DDR1,DDR1_HUMAN,EDDR1; NTRK4; PTK3A; TRKE; RTK6; NEP; CAK,Epithelial discoidin domain-containing receptor 1; Protein-tyrosine kinase 3A; Protein-tyrosine kinase RTK-6; Mammary carcinoma kinase 10; Tyrosine-protein kinase CAK; TRK E; Tyrosine kinase DDR; Discoidin receptor tyrosine kinase; HGK2; CD167 antigen-like family member A; Cell adhesion kinase
Q96AP0,ACD,ACD_HUMAN,PIP1; TINT1; PTOP; TPP1,Adrenocortical dysplasia protein homolog; POT1 and TIN2-interacting protein
P55316,FOXG1,FOXG1_HUMAN,FKHL3; FOXG1C; FOXG1B; FKHL4; FKHL2; FOXG1A; FKH2; FKHL1,Forkhead box protein G1; Brain factor 2; Forkhead-related protein FKHL3; Brain factor 1; Forkhead-related protein FKHL1; Forkhead box protein G1C; Forkhead-related protein FKHL2; Forkhead box protein G1B; Forkhead box protein G1A
P98177,FOXO4,FOXO4_HUMAN,AFX; AFX1; MLLT7,Forkhead box protein O4; Fork head domain transcription factor AFX1
Q13009,TIAM1,TIAM1_HUMAN,,T-lymphoma invasion and metastasis-inducing protein 1
Q12968,NFATC3,NFAC3_HUMAN,NFAT4,"Nuclear factor of activated T-cells, cytoplasmic 3; NFATx; T-cell transcription factor NFAT4"
Q6IE81,JADE1,JADE1_HUMAN,KIAA1807; PHF17,Protein Jade-1; Jade family PHD finger protein 1; PHD finger protein 17
Q9NRF8,CTPS2,PYRG2_HUMAN,,CTP synthase 2; UTP--ammonia ligase 2; CTP synthetase 2
P62745,RHOB,RHOB_HUMAN,ARH6; ARHB,Rho-related GTP-binding protein RhoB; Rho cDNA clone 6
Q9H6E5,TUT1,STPAP_HUMAN,RBM21,Speckle targeted PIP5K1A-regulated poly(A) polymerase; RNA-binding motif protein 21; U6 snRNA-specific terminal uridylyltransferase 1
P56537,EIF6,IF6_HUMAN,EIF3A; ITGB4BP; OK/SW-cl.27,Eukaryotic translation initiation factor 6; B(2)GCN homolog; B4 integrin interactor; CAB; p27(BBP)
P42892,ECE1,ECE1_HUMAN,,Endothelin-converting enzyme 1
O14503,BHLHE40,BHE40_HUMAN,STRA13; DEC1; BHLHB2; SHARP2,Class E basic helix-loop-helix protein 40; Class B basic helix-loop-helix protein 2; Differentially expressed in chondrocytes protein 1; Enhancer-of-split and hairy-related protein 2; Stimulated by retinoic acid gene 13 protein
Q5VWQ8,DAB2IP,DAB2P_HUMAN,AF9Q34; KIAA1743; AIP1,Disabled homolog 2-interacting protein; ASK-interacting protein 1; DOC-2/DAB-2 interactive protein
P46379,BAG6,BAG6_HUMAN,BAT3; G3,Large proline-rich protein BAG6; BAG family molecular chaperone regulator 6; BCL2-associated athanogene 6; HLA-B-associated transcript 3; Protein G3; Protein Scythe
O75449,KATNA1,KTNA1_HUMAN,,Katanin p60 ATPase-containing subunit A1; p60 katanin
P43686,PSMC4,PRS6B_HUMAN,MIP224; TBP7,26S proteasome regulatory subunit 6B; 26S proteasome AAA-ATPase subunit RPT3; MB67-interacting protein; MIP224; Proteasome 26S subunit ATPase 4; Tat-binding protein 7
O43684,BUB3,BUB3_HUMAN,,Mitotic checkpoint protein BUB3
Q12834,CDC20,CDC20_HUMAN,,Cell division cycle protein 20 homolog; p55CDC
Q9HAW7,UGT1A7,UD17_HUMAN,GNT1; UGT1,UDP-glucuronosyltransferase 1-7; UDP-glucuronosyltransferase 1-G; UDP-glucuronosyltransferase 1A7
O75689,ADAP1,ADAP1_HUMAN,CENTA1,Arf-GAP with dual PH domain-containing protein 1; Centaurin-alpha-1; Putative MAPK-activating protein PM25
Q86XR7,TICAM2,TCAM2_HUMAN,TRAM; TIRP; TIRAP3,TIR domain-containing adapter molecule 2; Putative NF-kappa-B-activating protein 502; Toll/interleukin-1 receptor domain-containing protein; TRIF-related adapter molecule; Toll-like receptor adaptor protein 3
Q14145,KEAP1,KEAP1_HUMAN,INRF2; KIAA0132; KLHL19,Kelch-like ECH-associated protein 1; Cytosolic inhibitor of Nrf2; Kelch-like protein 19
P04899,GNAI2,GNAI2_HUMAN,GNAI2B,Guanine nucleotide-binding protein G(i) subunit alpha-2; Adenylate cyclase-inhibiting G alpha protein
O94925-3,GLS,GLSK-3_HUMAN,GLS1; KIAA0838,"Isoform 3 of Glutaminase kidney isoform, mitochondrial; K-glutaminase; L-glutamine amidohydrolase"
P46940,IQGAP1,IQGA1_HUMAN,KIAA0051,Ras GTPase-activating-like protein IQGAP1; p195
P05091,ALDH2,ALDH2_HUMAN,ALDM,"Aldehyde dehydrogenase, mitochondrial; ALDH-E2; ALDH class 2; ALDHI"
P23975,SLC6A2,SC6A2_HUMAN,NAT1; NET1; SLC6A5,Sodium-dependent noradrenaline transporter; Norepinephrine transporter; Solute carrier family 6 member 2
Q5JXC2,MIIP,MIIP_HUMAN,IIP45,Migration and invasion-inhibitory protein; Invasion-inhibitory protein 45; IGFBP2-binding protein
Q16612,NREP,NREP_HUMAN,C5orf13; P311,Neuronal regeneration-related protein; Protein p311; Neuronal protein 3.1
P17252,PRKCA,KPCA_HUMAN,PKCA; PRKACA,Protein kinase C alpha type
Q7L9L4,MOB1B,MOB1B_HUMAN,MOB4A; MOBKL1A,MOB kinase activator 1B; Mob1B; Mps one binder kinase activator-like 1A; Mob1 homolog 1A
Q9H4B6,SAV1,SAV1_HUMAN,WW45,Protein salvador homolog 1; 45 kDa WW domain protein
Q9H8S9,MOB1A,MOB1A_HUMAN,C2orf6; MOB4B; MOBK1B; MOBKL1B,MOB kinase activator 1A; Mob1 alpha; Mob1 homolog 1B; Mps one binder kinase activator-like 1B
P51955,NEK2,NEK2_HUMAN,NEK2A; NLK1,Serine/threonine-protein kinase Nek2; NimA-like protein kinase 1; Never in mitosis A-related kinase 2; HSPK 21
O00161,SNAP23,SNP23_HUMAN,,Synaptosomal-associated protein 23; Vesicle-membrane fusion protein SNAP-23
P05771,PRKCB,KPCB_HUMAN,PKCB; PRKCB1,Protein kinase C beta type
P42771,CDKN2A,CDN2A_HUMAN,CDKN2; MTS1,Cyclin-dependent kinase inhibitor 2A; Cyclin-dependent kinase 4 inhibitor A; Multiple tumor suppressor 1; p16-INK4a
Q8WVB6,CHTF18,CTF18_HUMAN,C16orf41; CTF18,Chromosome transmission fidelity protein 18 homolog; CHL12
Q9Y248,GINS2,PSF2_HUMAN,PSF2; DC5; CGI-122; HSPC037,DNA replication complex GINS protein PSF2; GINS complex subunit 2
Q9Y285,FARSA,SYFA_HUMAN,FARS; FARSL; FARSLA,Phenylalanine--tRNA ligase alpha subunit; CML33; Phenylalanyl-tRNA synthetase alpha subunit
Q9UFW8,CGGBP1,CGBP1_HUMAN,CGGBP,CGG triplet repeat-binding protein 1; p20-CGGBP DNA-binding protein; 20 kDa CGG-binding protein
Q8IYD8,FANCM,FANCM_HUMAN,KIAA1596,Fanconi anemia group M protein; ATP-dependent RNA helicase FANCM; Fanconi anemia-associated polypeptide of 250 kDa; Protein Hef ortholog
Q9NZC9,SMARCAL1,SMAL1_HUMAN,HARP,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1; HepA-related protein; Sucrose nonfermenting protein 2-like 1
Q14683,SMC1A,SMC1A_HUMAN,SMC1; DXS423E; KIAA0178; SB1.8; SMC1L1,Structural maintenance of chromosomes protein 1A; Sb1.8
Q8IX01,SUGP2,SUGP2_HUMAN,KIAA0365; SFRS14,"SURP and G-patch domain-containing protein 2; Arginine/serine-rich-splicing factor 14; Splicing factor, arginine/serine-rich 14"
O75943,RAD17,RAD17_HUMAN,R24L,Cell cycle checkpoint protein RAD17; RF-C/activator 1 homolog
Q03164,KMT2A,KMT2A_HUMAN,TRX1; CXXC7; HTRX; ALL1; MLL; MLL1; HRX,Histone-lysine N-methyltransferase 2A; ALL-1; CXXC-type zinc finger protein 7; Myeloid/lymphoid or mixed-lineage leukemia; Myeloid/lymphoid or mixed-lineage leukemia protein 1; Trithorax-like protein; Zinc finger protein HRX
Q7Z6Z7,HUWE1,HUWE1_HUMAN,UREB1; KIAA0312; HSPC272; KIAA1578,"E3 ubiquitin-protein ligase HUWE1; ARF-binding protein 1; HECT, UBA and WWE domain-containing protein 1; HECT-type E3 ubiquitin transferase HUWE1; Homologous to E6AP carboxyl terminus homologous protein 9; Large structure of UREB1; Mcl-1 ubiquitin ligase E3; Upstream regulatory element-binding protein 1"
Q9NZN8,CNOT2,CNOT2_HUMAN,NOT2; MSTP046; CDC36; HSPC131,CCR4-NOT transcription complex subunit 2; CCR4-associated factor 2
Q9BUG6,ZSCAN5A,ZSA5A_HUMAN,ZNF495; ZSCAN5,Zinc finger and SCAN domain-containing protein 5A; Zinc finger protein 495
O94880,PHF14,PHF14_HUMAN,KIAA0783,PHD finger protein 14
Q8N4S0,CCDC82,CCD82_HUMAN,HT025,Coiled-coil domain-containing protein 82
Q13098,GPS1,CSN1_HUMAN,COPS1; CSN1,COP9 signalosome complex subunit 1; G protein pathway suppressor 1; JAB1-containing signalosome subunit 1; Protein MFH
O43542,XRCC3,XRCC3_HUMAN,,DNA repair protein XRCC3; X-ray repair cross-complementing protein 3
P40692,MLH1,MLH1_HUMAN,COCA2,DNA mismatch repair protein Mlh1; MutL protein homolog 1
Q8TAQ2,SMARCC2,SMRC2_HUMAN,BAF170,SWI/SNF complex subunit SMARCC2; BRG1-associated factor 170; SWI/SNF complex 170 kDa subunit; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2
Q8N163,CCAR2,CCAR2_HUMAN,DBC1; KIAA1967,Cell cycle and apoptosis regulator protein 2; Deleted in breast cancer gene 1 protein; NET35; Cell division cycle and apoptosis regulator protein 2; DBIRD complex subunit KIAA1967; p30 DBC
P49006,MARCKSL1,MRP_HUMAN,MLP; MRP,MARCKS-related protein; Macrophage myristoylated alanine-rich C kinase substrate; MARCKS-like protein 1
Q92673,SORL1,SORL_HUMAN,C11orf32,Sortilin-related receptor; Low-density lipoprotein receptor relative with 11 ligand-binding repeats; SorLA-1; Sorting protein-related receptor containing LDLR class A repeats
O75116,ROCK2,ROCK2_HUMAN,KIAA0619,"Rho-associated protein kinase 2; Rho-associated, coiled-coil-containing protein kinase 2; Rho kinase 2; Rho-associated, coiled-coil-containing protein kinase II; p164 ROCK-2"
Q99962,SH3GL2,SH3G2_HUMAN,CNSA2; SH3D2A,Endophilin-A1; Endophilin-1; EEN-B1; SH3 domain-containing GRB2-like protein 2; SH3 domain protein 2A
O15111,CHUK,IKKA_HUMAN,IKKA; TCF16,Inhibitor of nuclear factor kappa-B kinase subunit alpha; Transcription factor 16; Nuclear factor NF-kappa-B inhibitor kinase alpha; Conserved helix-loop-helix ubiquitous kinase; I-kappa-B kinase 1
Q9BYV9,BACH2,BACH2_HUMAN,,Transcription regulator protein BACH2; BTB and CNC homolog 2
Q92519,TRIB2,TRIB2_HUMAN,TRB2,Tribbles homolog 2
Q16873,LTC4S,LTC4S_HUMAN,,Leukotriene C4 synthase; Leukotriene-C(4) synthase
Q09161,NCBP1,NCBP1_HUMAN,CBP80; NCBP,Nuclear cap-binding protein subunit 1; 80 kDa nuclear cap-binding protein
Q9GZT9,EGLN1,EGLN1_HUMAN,C1orf12; PNAS-118; PNAS-137,Egl nine homolog 1; Hypoxia-inducible factor prolyl hydroxylase 2; Prolyl hydroxylase domain-containing protein 2; SM-20
P33778,HIST1H2BB,H2B1B_HUMAN,H2BFF,Histone H2B type 1-B; Histone H2B.1; Histone H2B.f
Q96QT4,TRPM7,TRPM7_HUMAN,CHAK1; LTRPC7,Transient receptor potential cation channel subfamily M member 7; Long transient receptor potential channel 7; Channel-kinase 1
P28289,TMOD1,TMOD1_HUMAN,D9S57E; TMOD,Tropomodulin-1; Erythrocyte tropomodulin
Q12866,MERTK,MERTK_HUMAN,MER,Tyrosine-protein kinase Mer; Receptor tyrosine kinase MerTK; Proto-oncogene c-Mer
Q9BY11,PACSIN1,PACN1_HUMAN,KIAA1379,Protein kinase C and casein kinase substrate in neurons protein 1; Syndapin-1
P36871,PGM1,PGM1_HUMAN,,Phosphoglucomutase-1; Glucose phosphomutase 1
P51114,FXR1,FXR1_HUMAN,,Fragile X mental retardation syndrome-related protein 1
P19086,GNAZ,GNAZ_HUMAN,,Guanine nucleotide-binding protein G(z) subunit alpha; G(x) alpha chain; Gz-alpha
Q13418,ILK,ILK_HUMAN,ILK1; ILK2,Integrin-linked protein kinase; ILK-1; ILK-2; 59 kDa serine/threonine-protein kinase; p59ILK
Q13233,MAP3K1,M3K1_HUMAN,MAPKKK1; MEKK; MEKK1,Mitogen-activated protein kinase kinase kinase 1; MAPK/ERK kinase kinase 1
Q99426,TBCB,TBCB_HUMAN,CG22; CKAP1,Tubulin-folding cofactor B; Cytoskeleton-associated protein 1; Tubulin-specific chaperone B; Cytoskeleton-associated protein CKAPI
P18669,PGAM1,PGAM1_HUMAN,PGAMA; CDABP0006,Phosphoglycerate mutase 1; BPG-dependent PGAM 1; Phosphoglycerate mutase isozyme B
Q9Y6X9,MORC2,MORC2_HUMAN,KIAA0852; ZCWCC1,ATPase MORC2; MORC family CW-type zinc finger protein 2; Zinc finger CW-type coiled-coil domain protein 1
Q15365,PCBP1,PCBP1_HUMAN,,Poly(rC)-binding protein 1; Nucleic acid-binding protein SUB2.3; Heterogeneous nuclear ribonucleoprotein E1; Alpha-CP1
P63167,DYNLL1,DYL1_HUMAN,DLC1; DNCL1; DNCLC1; HDLC1,"Dynein light chain 1, cytoplasmic; Dynein light chain LC8-type 1; Protein inhibitor of neuronal nitric oxide synthase; 8 kDa dynein light chain"
Q70Z35,PREX2,PREX2_HUMAN,DEPDC2,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein; DEP domain-containing protein 2"
Q8IYU2,HACE1,HACE1_HUMAN,KIAA1320,E3 ubiquitin-protein ligase HACE1; HECT domain and ankyrin repeat-containing E3 ubiquitin-protein ligase 1; HECT-type E3 ubiquitin transferase HACE1
P62805,H4C12,H4_HUMAN,H4/D; HIST1H4K; H4FD,Histone H4
Q9BX84,TRPM6,TRPM6_HUMAN,CHAK2,Transient receptor potential cation channel subfamily M member 6; Melastatin-related TRP cation channel 6; Channel kinase 2
O94913,PCF11,PCF11_HUMAN,KIAA0824,Pre-mRNA cleavage complex 2 protein Pcf11; Pre-mRNA cleavage complex II protein Pcf11
P06213-2,INSR,INSR-2_HUMAN,,Isoform Short of Insulin receptor
Q99704,DOK1,DOK1_HUMAN,,Docking protein 1; Downstream of tyrosine kinase 1; pp62; p62(dok)
Q92569,PIK3R3,P55G_HUMAN,,Phosphatidylinositol 3-kinase regulatory subunit gamma; p55PIK; Phosphatidylinositol 3-kinase 55 kDa regulatory subunit gamma
P06213,INSR,INSR_HUMAN,,Insulin receptor
P35232,PHB,PHB_HUMAN,,Prohibitin
P46937-3,YAP1,YAP1-3_HUMAN,YAP65,Isoform 3 of Transcriptional coactivator YAP1; Protein yorkie homolog; Yes-associated protein YAP65 homolog
P55957,BID,BID_HUMAN,,BH3-interacting domain death agonist; p22 BID
Q9UQF2,MAPK8IP1,JIP1_HUMAN,PRKM8IP; IB1; JIP1,C-Jun-amino-terminal kinase-interacting protein 1; JNK MAP kinase scaffold protein 1; Mitogen-activated protein kinase 8-interacting protein 1; Islet-brain 1
P61981,YWHAG,1433G_HUMAN,,14-3-3 protein gamma; Protein kinase C inhibitor protein 1
Q99523,SORT1,SORT_HUMAN,,Sortilin; 100 kDa NT receptor; Glycoprotein 95; Neurotensin receptor 3
Q9P0J1,PDP1,PDP1_HUMAN,PDP; PPM2C,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial; Pyruvate dehydrogenase phosphatase catalytic subunit 1; Protein phosphatase 2C"
P24752,ACAT1,THIL_HUMAN,ACAT; MAT,"Acetyl-CoA acetyltransferase, mitochondrial; Acetoacetyl-CoA thiolase; T2"
O75460,ERN1,ERN1_HUMAN,IRE1,Serine/threonine-protein kinase/endoribonuclease IRE1; Endoplasmic reticulum-to-nucleus signaling 1; Inositol-requiring protein 1; Ire1-alpha
P51681,CCR5,CCR5_HUMAN,CMKBR5,C-C chemokine receptor type 5; CHEMR13; HIV-1 fusion coreceptor
P30874,SSTR2,SSR2_HUMAN,,Somatostatin receptor type 2; SRIF-1
P41146,OPRL1,OPRX_HUMAN,OOR; ORL1,Nociceptin receptor; Kappa-type 3 opioid receptor; Orphanin FQ receptor
Q96J02,ITCH,ITCH_HUMAN,,E3 ubiquitin-protein ligase Itchy homolog; Atrophin-1-interacting protein 4; HECT-type E3 ubiquitin transferase Itchy homolog; NFE2-associated polypeptide 1
Q13045,FLII,FLII_HUMAN,FLIL,Protein flightless-1 homolog
Q9NVI1,FANCI,FANCI_HUMAN,KIAA1794,Fanconi anemia group I protein
Q96S59,RANBP9,RANB9_HUMAN,RANBPM,Ran-binding protein 9; BPM-L; BPM90; Ran-binding protein M; RanBP7
Q7LG56,RRM2B,RIR2B_HUMAN,P53R2,Ribonucleoside-diphosphate reductase subunit M2 B; p53-inducible ribonucleotide reductase small subunit 2-like protein; TP53-inducible ribonucleotide reductase M2 B
Q9H2K8,TAOK3,TAOK3_HUMAN,JIK; MAP3K18; DPK; KDS,Serine/threonine-protein kinase TAO3; Cutaneous T-cell lymphoma-associated antigen HD-CL-09; JNK/SAPK-inhibitory kinase; Dendritic cell-derived protein kinase; Kinase from chicken homolog A; Jun kinase-inhibitory kinase; Thousand and one amino acid protein 3
Q96RU2,USP28,UBP28_HUMAN,KIAA1515,Ubiquitin carboxyl-terminal hydrolase 28; Ubiquitin thioesterase 28; Ubiquitin-specific-processing protease 28; Deubiquitinating enzyme 28
Q96J02-2,ITCH,ITCH-2_HUMAN,,Isoform 2 of E3 ubiquitin-protein ligase Itchy homolog; Atrophin-1-interacting protein 4; HECT-type E3 ubiquitin transferase Itchy homolog; NFE2-associated polypeptide 1
Q6PCD5,RFWD3,RFWD3_HUMAN,RNF201,E3 ubiquitin-protein ligase RFWD3; RING finger and WD repeat domain-containing protein 3; RING finger protein 201
Q9UQR1,ZNF148,ZN148_HUMAN,ZBP89,Zinc finger protein 148; Transcription factor ZBP-89; Zinc finger DNA-binding protein 89
Q96T60,PNKP,PNKP_HUMAN,,Bifunctional polynucleotide phosphatase/kinase; Polynucleotide kinase-3'-phosphatase; DNA 5'-kinase/3'-phosphatase
Q9NS23,RASSF1,RASF1_HUMAN,RDA32,Ras association domain-containing protein 1
Q8IY92,SLX4,SLX4_HUMAN,BTBD12; KIAA1784; KIAA1987,Structure-specific endonuclease subunit SLX4; BTB/POZ domain-containing protein 12
Q6UWZ7,ABRAXAS1,ABRX1_HUMAN,CCDC98; ABRA1; UNQ496/PRO1013; FAM175A,BRCA1-A complex subunit Abraxas 1; Coiled-coil domain-containing protein 98; Protein FAM175A
Q8NHY2,COP1,COP1_HUMAN,RFWD2; RNF200,E3 ubiquitin-protein ligase COP1; Constitutive photomorphogenesis protein 1 homolog; RING finger and WD repeat domain protein 2; RING finger protein 200; RING-type E3 ubiquitin transferase RFWD2
O75150,RNF40,BRE1B_HUMAN,BRE1B; KIAA0661,E3 ubiquitin-protein ligase BRE1B; 95 kDa retinoblastoma-associated protein; RING finger protein 40; RING-type E3 ubiquitin transferase BRE1B
Q5VTR2,RNF20,BRE1A_HUMAN,BRE1A,E3 ubiquitin-protein ligase BRE1A; RING finger protein 20; RING-type E3 ubiquitin transferase BRE1A
O15355,PPM1G,PPM1G_HUMAN,PPM1C,Protein phosphatase 1G; Protein phosphatase magnesium-dependent 1 gamma; Protein phosphatase 2C isoform gamma; Protein phosphatase 1C
Q14839,CHD4,CHD4_HUMAN,,Chromodomain-helicase-DNA-binding protein 4; ATP-dependent helicase CHD4; Mi-2 autoantigen 218 kDa protein; Mi2-beta
Q9NQS1,AVEN,AVEN_HUMAN,,Cell death regulator Aven
O00255-2,MEN1,MEN1-2_HUMAN,SCG2,Isoform 2 of Menin
Q8TAQ5,ZNF420,ZN420_HUMAN,,Zinc finger protein 420
O96028,NSD2,NSD2_HUMAN,KIAA1090; TRX5; MMSET; WHSC1,Histone-lysine N-methyltransferase NSD2; Multiple myeloma SET domain-containing protein; Nuclear SET domain-containing protein 2; Protein trithorax-5; Wolf-Hirschhorn syndrome candidate 1 protein
P15374,UCHL3,UCHL3_HUMAN,,Ubiquitin carboxyl-terminal hydrolase isozyme L3; Ubiquitin thioesterase L3
Q70CQ2,USP34,UBP34_HUMAN,KIAA0570; KIAA0729,Ubiquitin carboxyl-terminal hydrolase 34; Deubiquitinating enzyme 34; Ubiquitin thioesterase 34; Ubiquitin-specific-processing protease 34
Q8N680,ZBTB2,ZBTB2_HUMAN,KIAA1483; ZNF437,Zinc finger and BTB domain-containing protein 2
Q7L7X3,TAOK1,TAOK1_HUMAN,KIAA1361; MARKK; MAP3K16,Serine/threonine-protein kinase TAO1; Prostate-derived sterile 20-like kinase 2; MARK Kinase; Thousand and one amino acid protein kinase 1; Kinase from chicken homolog B
Q9BUR4,WRAP53,TCAB1_HUMAN,TCAB1; WDR79,Telomerase Cajal body protein 1; WD repeat-containing protein 79; WD40 repeat-containing protein antisense to TP53 gene
P37275,ZEB1,ZEB1_HUMAN,AREB6; TCF8,Zinc finger E-box-binding homeobox 1; Negative regulator of IL2; NIL-2-A zinc finger protein; Transcription factor 8
P11166,SLC2A1,GTR1_HUMAN,GLUT1,"Solute carrier family 2, facilitated glucose transporter member 1; Glucose transporter type 1, erythrocyte/brain; HepG2 glucose transporter"
Q969R5,L3MBTL2,LMBL2_HUMAN,,Lethal(3)malignant brain tumor-like protein 2
Q9Y4E8,USP15,UBP15_HUMAN,KIAA0529,Ubiquitin carboxyl-terminal hydrolase 15; Deubiquitinating enzyme 15; Ubiquitin thioesterase 15; Ubiquitin-specific-processing protease 15; Unph-2; Unph4
Q8IW19,APLF,APLF_HUMAN,C2orf13; PALF; XIP1,Aprataxin and PNK-like factor; Apurinic-apyrimidinic endonuclease APLF; XRCC1-interacting protein 1; PNK and APTX-like FHA domain-containing protein
