Kinase Accession,Subcellular Location
P42679,Cytoplasm; Cytoplasmic vesicle; Perikaryon; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; axon; Cell projection; Cell projection; dendrite; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; synaptic vesicle; synaptic vesicle membrane; Endosome; Lysosome; Mitochondrion; Mitochondrion outer membrane; Peripheral membrane protein; Golgi apparatus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Cytoplasm; Membrane; cytoskeleton; Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Nucleus; Cytoplasm;
Q12866,Membrane; Single-pass type I membrane protein;
P08581,Cell junction; Endoplasmic reticulum; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cytoplasm; Cytoplasmic vesicle; Early endosome; caveola; Secreted; Secreted; Cytoplasm; Mitochondrion; Mitochondrion matrix; Mitochondrion; Cytoplasm; Cell membrane; Peripheral membrane protein; synapse; cytoskeleton; Cell junction; Endoplasmic reticulum; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cytoplasm; Cytoplasmic vesicle; Early endosome; caveola; Secreted; Cell surface; Cell junction; focal adhesion; Cytoplasm; cytoskeleton; focal adhesion; Membrane; Single-pass type I membrane protein; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell membrane; Single-pass type I membrane protein; Cell projection; lamellipodium; Cell projection; ruffle; ruffle; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Cytoplasm; Nucleus; Cell junction; focal adhesion; Cell membrane; Nucleus; Cytoplasm; Cytoplasm; perinuclear region; Golgi apparatus; Lipid-anchor; Membrane; Golgi apparatus; Apical cell membrane; Single-pass type I membrane protein; Secreted; Secreted; Secreted; Cell membrane; Cytoplasm; Nucleus; Cell junction; postsynaptic cell membrane; synapse; synaptic cell membrane; Cytoplasm; cytosol; Cytoplasm; cytoskeleton; Membrane; Peripheral membrane protein; Cell projection; filopodium; Cell projection; lamellipodium; Nucleus; Nucleus; Nucleus speckle; ruffle; cytosol; Cell membrane; Mitochondrion; Mitochondrion inner membrane; Nucleus; Cytoplasm; cytoskeleton; Cytoplasm; perinuclear region; focal adhesion; gem; focal adhesion; focal adhesion; perinuclear region; Cytoplasm; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic vesicle; Cytoplasm; Cytoplasm; Cytoplasm; Membrane; Single-pass type I membrane protein; Secreted; Cell membrane; Single-pass type I membrane protein; Secreted; Secreted; Cell membrane; Single-pass type I membrane protein; Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; stress fiber; Nucleus; Cytoplasm; Mitochondrion; Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Membrane; Single-pass type I membrane protein; Cytoplasm; Endoplasmic reticulum; Nucleus; Cell membrane; Single-pass type I membrane protein; Cell projection; ruffle; ruffle membrane; Cell junction; synapse; Cytoplasm; Membrane; Peripheral membrane protein; Cytoplasm; Cell membrane; Peripheral membrane protein; Cytoplasm; cytoskeleton; cytoskeleton; gem; Cell membrane; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytosol; Cytoplasm; Endoplasmic reticulum; Secreted; Cytoplasm; Cell membrane; Cell surface; Cytoplasm; Cell membrane; Cell projection; cilium; Golgi apparatus; Cell membrane; Cytoplasm; cytosol; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted; Mitochondrion; Mitochondrion matrix; Cytoplasm; cytosol; Cell junction; Peripheral membrane protein; postsynaptic cell membrane; synapse; synaptic cell membrane; postsynaptic cell membrane; synaptic cell membrane; Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; perinuclear region; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell projection; ruffle; ruffle membrane; Cytoplasm; cytosol; Cytoplasm; cytoskeleton; Mitochondrion; Mitochondrion inner membrane; Mitochondrion; Mitochondrion intermembrane space; ruffle;
Q04912,Cell membrane; Single-pass type I membrane protein; Membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Secreted; Secreted; Cell membrane; Single-pass type I membrane protein; Secreted;
O15146,Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Cell junction; postsynaptic cell membrane; Single-pass type I membrane protein; synapse; synaptic cell membrane; postsynaptic cell membrane; synaptic cell membrane;
P04629,Cell membrane; Single-pass type I membrane protein; Early endosome; Early endosome membrane; Single-pass type I membrane protein; Late endosome; Late endosome membrane; Single-pass type I membrane protein; Recycling endosome; Recycling endosome membrane; Single-pass type I membrane protein; axon; Membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Endosome; Endosome membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi stack; Golgi stack membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Cell membrane; Extracellular side; Single-pass type I membrane protein; Lysosome; Lysosome membrane; Single-pass type I membrane protein; Golgi stack; Secreted; Endosome; Endosome lumen; Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasm; cytosol; Late endosome; Lysosome; autophagosome; Cytoplasm; Cytoplasmic vesicle; phagosome; Nucleus; Endoplasmic reticulum; Nucleus; PML body; Cytoplasm; myofibril; sarcomere; autophagosome; phagosome; Cytoplasm; cytosol; Preautophagosomal structure; autophagosome; phagosome; Cytoplasm; Cell membrane; Cell projection; cilium; Golgi apparatus; Cell membrane; Single-pass type I membrane protein; Membrane; Single-pass type I membrane protein; Perikaryon; Cell projection; growth cone; clathrin-coated pit; coated pit; Membrane; Early endosome; Cytoplasm; Cytoplasmic vesicle; Cell surface; clathrin-coated pit; coated pit; extracellular space; growth cone; perinuclear region; Secreted; Cell surface; Nucleus; Cytoplasm;
Q16620,Cytoplasm; Cell membrane; Peripheral membrane protein; Perikaryon; Cell projection; lamellipodium; Cell projection; growth cone; Nucleus; Cell junction; postsynaptic density; synapse; axon; growth cone; Cell membrane; Single-pass type I membrane protein; Endosome; Endosome membrane; Single-pass type I membrane protein; Early endosome; Early endosome membrane; axon; Cell projection; Cell projection; dendrite; Cytoplasm; perinuclear region; Cell junction; postsynaptic density; synapse; Secreted;
Q16288,Membrane; Single-pass type I membrane protein;
P16234,Cytoplasm; Cytoplasmic side; Nucleus; Nucleus outer membrane; Single-pass type IV membrane protein; Nucleus; Chromosome; telomere; telomere; telomere; spindle; spindle pole; Secreted; Cytoplasm; cytosol; Secreted; Nucleus; Cytoplasm; Cytoplasmic granule; Cell membrane; Cell membrane; Single-pass type I membrane protein; Cell projection; cilium; Golgi apparatus; Secreted; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasmic vesicle; Lysosome; Lysosome lumen; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted; Cytoplasm; Cell membrane;
P09619,Cell junction; Endoplasmic reticulum; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cytoplasm; Cytoplasmic vesicle; Early endosome; caveola; Secreted; Secreted; Cell junction; Endoplasmic reticulum; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cytoplasm; Cytoplasmic vesicle; Early endosome; caveola; Secreted; Host; Host membrane; Peripheral membrane protein; Cell projection; lamellipodium; Cell projection; ruffle; ruffle; Cytoplasm; Nucleus; Nucleus; PML body; Secreted; Cytoplasm; Cell membrane; Mitochondrion; Nucleus; Cytoplasm; Nucleus; Cell projection; lamellipodium; Cell projection; ruffle; ruffle; Cytoplasm; Cytoplasm; Endosome; Cytoplasm; Cell junction; focal adhesion; Cell projection; podosome; focal adhesion; Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasm; cytoskeleton; Cell junction; focal adhesion; Nucleus; Cytoplasm; Cell membrane; Single-pass type I membrane protein; Cell projection; ruffle; ruffle membrane; Cell junction; synapse; COPII-coated vesicle; Cytoplasm; Cytoplasmic vesicle; Cytoplasm; Nucleus; Cell membrane; Secreted; Cell membrane; Single-pass type I membrane protein; Cell projection; cilium; Golgi apparatus; Cytoplasm; Apical cell membrane; Endomembrane system; Peripheral membrane protein; Cell projection; filopodium; Cell projection; ruffle; Cell projection; microvillus; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Membrane; Membrane raft; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasmic vesicle; Lysosome; Lysosome lumen; Membrane; Single-pass type I membrane protein; Cell membrane; Secreted; Cytoplasm; Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; Cytoplasmic granule; Cell projection;
Q05397,Cytoplasm; Nucleus; Mitochondrion; Cell membrane; Mitochondrion; Mitochondrion inner membrane; Nucleus; Cytoplasm; cytoskeleton; Cytoplasm; perinuclear region; focal adhesion; gem; focal adhesion; focal adhesion; perinuclear region; Cell junction; focal adhesion; Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; cell cortex; Cytoplasm; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; focal adhesion; Cell membrane; Mitochondrion; Mitochondrion inner membrane; Nucleus; Cytoplasm; cytoskeleton; Cytoplasm; perinuclear region; focal adhesion; gem; focal adhesion; focal adhesion; perinuclear region; Cytoplasm; Cell membrane; Single-pass type I membrane protein; Cell membrane; Lipid-anchor; Cell junction; desmosome; hemidesmosome; Cell membrane; Single-pass type I membrane protein; Endosome; Secreted; Secreted; Secreted; Cytoplasm; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Cytoplasmic vesicle; Endosome; cilium; cilium basal body; Cytoplasm; cytoskeleton; Early endosome; Cell junction; focal adhesion; Nucleus; Nucleus matrix; Cytoplasm; cytoskeleton; cytoskeleton; stress fiber; Cell junction; focal adhesion; Nucleus; Nucleus matrix; Cytoplasm; cytoskeleton; cytoskeleton; stress fiber; Cytoplasm; cytoskeleton; Cell junction; focal adhesion; cell cortex; Cytoplasm; ruffle; Cytoplasm; Nucleus; Nucleus; PML body; Endoplasmic reticulum; Mitochondrion; Mitochondrion matrix; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted; Lysosome; Lipid-anchor; Membrane; Cell projection; Lipid-anchor; podosome; podosome membrane; Cytoplasm; cytosol; Cell membrane; Lipid-anchor; caveola; Lipid-anchor; Membrane; Cell junction; focal adhesion; Cytoplasm; cytoskeleton; Golgi apparatus; Cytoplasm; Cytoplasmic vesicle; Lysosome; Nucleus; caveola; caveola; cytoskeleton; focal adhesion; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Cytoplasm; cytosol; Cell membrane; Single-pass type I membrane protein; Cell projection; ruffle; ruffle membrane; Single-pass type I membrane protein; Cell projection; lamellipodium; lamellipodium membrane; Single-pass type I membrane protein; Cell junction; focal adhesion; perinuclear region; Cell junction; focal adhesion; Cytoplasm; Cytoplasm; Cell membrane; Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; Cytoplasmic granule; Cell projection;
Q14289,cilium; cilium basal body; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cell junction; tight junction; Nucleus; tight junction; cilium; Cell membrane; Mitochondrion; Mitochondrion inner membrane; Nucleus; Cytoplasm; cytoskeleton; Cytoplasm; perinuclear region; focal adhesion; gem; focal adhesion; focal adhesion; perinuclear region; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Golgi apparatus; Golgi apparatus membrane; Lipid-anchor; Cell junction; focal adhesion; Cell projection; podosome; podosome; Cell junction; adherens junction; Cell junction; Cell projection; cilium; axon; cilium; cilium axoneme; Cytoplasm; cytoskeleton; Cell junction; tight junction; cilium; adherens junction; axon; tight junction; Cytoplasm; Nucleus; Cell membrane; Cytoplasm; Cytoplasm; perinuclear region; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell junction; focal adhesion; Cell projection; lamellipodium; cell cortex; Cytoplasm; Nucleus;
Q13882,Cytoplasm; cytoskeleton; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cell projection; ruffle; Membrane; Nucleus; Nucleus speckle; Nucleus; Nucleus matrix; Cytoplasm; Nucleus; Nucleus; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasm; Midbody; clathrin-coated pit; coated pit; Cytoplasm; Cytoplasmic side; Membrane; Peripheral membrane protein; clathrin-coated vesicle; Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus;
Q13308,Membrane; Single-pass type I membrane protein; Cell junction; Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; adherens junction; Cell junction; Cell junction; Cell membrane; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; Cell junction; synapse; cilium; cilium basal body; Cytoplasm; cytoskeleton; Cytoplasm; centriole; centrosome; spindle; spindle pole;
P07949,Cell projection; lamellipodium; Cell projection; ruffle; ruffle; Cytoplasm; Membrane; Nucleus; Cell membrane; Single-pass type I membrane protein; Endosome; Endosome membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Secreted; Cytoplasm;
Q01973,Cell membrane; Mitochondrion; Mitochondrion inner membrane; Nucleus; Cytoplasm; cytoskeleton; Cytoplasm; perinuclear region; focal adhesion; gem; focal adhesion; focal adhesion; perinuclear region; Membrane; Single-pass type I membrane protein; axon; Cell projection; Cell membrane; Mitochondrion; Mitochondrion inner membrane; Nucleus; Cytoplasm; cytoskeleton; Cytoplasm; perinuclear region; focal adhesion; gem; focal adhesion; focal adhesion; perinuclear region; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted;
Q01974,Cell membrane; Single-pass type I membrane protein; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted;
P08922,Cytoplasm; Nucleus; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein;
P34925,Membrane; Single-pass type I membrane protein; Nucleus; Cytoplasm;
P12931,Cell junction; Endoplasmic reticulum; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cytoplasm; Cytoplasmic vesicle; Early endosome; caveola; Secreted; Secreted; Endomembrane system; Single-pass type I membrane protein; adherens junction; Cell junction; Cell projection; cilium; flagellum; acrosome; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; trans-Golgi network; Cell membrane; Multi-pass membrane protein; Endosome; Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; perinuclear region; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; focal adhesion; Cell junction; focal adhesion; adherens junction; Cell junction; Cell membrane; Peripheral membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Nucleus; Melanosome; Cytoplasm; cytosol; Cytoplasm; cytoskeleton; extracellular exosome; Secreted; Membrane; Membrane raft; adherens junction; focal adhesion; stress fiber; Membrane; Single-pass type I membrane protein; Nucleus; Cytoplasm; Membrane; Peripheral membrane protein; Cytoplasm; Cell junction; focal adhesion; Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; cell cortex; Cytoplasm; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; focal adhesion; Cell membrane; Nucleus; Cytoplasm; Cytoplasm; perinuclear region; Golgi apparatus; Lipid-anchor; Membrane; Golgi apparatus; Cell membrane; Single-pass type I membrane protein; Secreted; Secreted; Secreted; Secreted; Secreted; Cytoplasm; Cell membrane; Single-pass type I membrane protein; Cell surface; Cell membrane; Single-pass type I membrane protein; Membrane; Membrane raft; Cell junction; Cell junction; Membrane; Single-pass type I membrane protein; axon; Cell projection; Cell membrane; Mitochondrion; Mitochondrion inner membrane; Nucleus; Cytoplasm; cytoskeleton; Cytoplasm; perinuclear region; focal adhesion; gem; focal adhesion; focal adhesion; perinuclear region; Membrane; Single-pass type I membrane protein; Secreted; Cytoplasm; Nucleus; Early endosome; Cytoplasm; Cytoplasm; cytoskeleton; axon; Cell projection; Cell projection; dendrite; Cell junction; presynapse; synapse; Cell junction; postsynapse; synapse; Cell junction; postsynaptic density; synapse; focal adhesion; perinuclear region; stress fiber; axon; dendrite; postsynapse; postsynaptic density; presynapse; synapse; Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasm; cytoskeleton; Membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasm; Membrane; Cytoplasm; Nucleus; Cytoplasm; perinuclear region; Lipid-anchor; Membrane; perinuclear region; Cytoplasm; Cell membrane; Cell projection; cilium; Golgi apparatus; adherens junction; Cell junction; Cell membrane; Single-pass type I membrane protein; Endosome; Golgi apparatus; trans-Golgi network; Golgi apparatus; Nucleus; Cytoplasm; Membrane; Cytoplasm; nucleoplasm; Nucleus; Cell projection; podosome; Cytoplasm; Nucleus; Cell membrane; clathrin-coated pit; coated pit; Membrane; Cell projection; pseudopodium; Cytoplasm; Cytoplasmic vesicle; Cytoplasm; Cell membrane; Peripheral membrane protein; Cytoplasm; cytoskeleton; Cell projection; lamellipodium; Cell projection; ruffle; Cytoplasm; ruffle; Cell membrane; Multi-pass membrane protein; Early endosome; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted; Cell membrane; Single-pass type I membrane protein; Secreted; Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; adherens junction; Cell junction; Cell junction; Cell membrane; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; Cell junction; synapse; cilium; cilium basal body; Cytoplasm; cytoskeleton; Cytoplasm; centriole; centrosome; spindle; spindle pole; Cytoplasm; cytoskeleton; Nucleus; Mitochondrion; Lipid-anchor; Nucleus; Nucleus membrane; Cytoplasm; cytoskeleton; adherens junction; Cell junction; Mitochondrion; Mitochondrion outer membrane; Peripheral membrane protein; Cytoplasm; cytosol; cytosol; Cell membrane; Single-pass type I membrane protein; adherens junction; Cell junction; Nucleus; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Nucleus; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell membrane; Single-pass type I membrane protein; Nucleus; Golgi apparatus; Cell membrane; Golgi apparatus; Cytoplasm; Cytoplasm; perinuclear region; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell junction; focal adhesion; Cell projection; lamellipodium; cell cortex; Cytoplasm; Nucleus; Cell membrane; Single-pass membrane protein; Secreted; Nucleus; Chromosome; nucleoplasm; Cytoplasm; cytoskeleton; Cytoplasm; myofibril; sarcomere; Z line; Cell membrane; Cell junction; Cell projection; ruffle; ruffle; Cell junction; focal adhesion; Cytoplasm; Cytoplasm; Nucleus; Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cell membrane; clathrin-coated pit; coated pit; Membrane; Cytoplasm; Cytoplasmic vesicle;
Q9H3Y6,Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; perinuclear region;
Q6J9G0,Membrane; Single-pass membrane protein; Cytoplasm; Nucleus; Cell membrane;
P43405,Membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum lumen; Nucleus; Cytoplasm; cytoskeleton; spindle; Chromosome; telomere; spindle; Cell projection; lamellipodium; Cell projection; ruffle; ruffle; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Cytoplasm; Membrane; Single-pass type I membrane protein; Secreted; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cell membrane; Cell projection; cilium; Golgi apparatus; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Endoplasmic reticulum; Mitochondrion; Nucleus; Golgi apparatus; Golgi apparatus membrane; Cell membrane; Cytoplasm; cytosol; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted; Cell membrane; Single-pass type I membrane protein; Secreted; Membrane; Multi-pass membrane protein; Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus;
P42680,Membrane; Single-pass type I membrane protein; Secreted; Cytoplasm; Cell membrane; Peripheral membrane protein; Cytoplasm; cytoskeleton; cytoskeleton; gem;
Q02763,Membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Cell junction; Cell junction; focal adhesion; Cytoplasm; cytoskeleton; Secreted; cytoskeleton; stress fiber; Cell membrane; Single-pass type I membrane protein; Membrane; Membrane raft; adherens junction; Cell junction; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cell junction; focal adhesion; Cell projection; podosome; focal adhesion; Membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Cell projection; ruffle; ruffle membrane; Cell junction; synapse; Secreted;
P35590,Secreted; Nucleus; Cytoplasm; Cytoplasm; P-body; Cell membrane; Single-pass type I membrane protein;
Q13470,Cytoplasm; Nucleus; Secreted; Cytoplasm; Membrane; Peripheral membrane protein;
Q07912,Cell membrane; Nucleus; Endosome; adherens junction; Cell junction; Cytoplasm; Cytoplasmic side; Cytoplasmic vesicle; Cytoplasmic vesicle membrane; Peripheral membrane protein; clathrin-coated vesicle; Cytoplasm; Cytoplasmic vesicle; clathrin-coated pit; coated pit; Membrane; Cytoplasm; perinuclear region;
P42681,Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein;
P29597,Cytoplasm; Nucleus; Cytoplasm; perinuclear region; Cell junction; tight junction; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; cytoskeleton; Nucleus; Endomembrane system; Peripheral membrane protein; Cytoplasm; Nucleus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Cytoplasm; nucleoplasm; Nucleus; Cell projection; podosome; Cell membrane; Single-pass type I membrane protein; Late endosome; Lysosome;
Q06418,Cell membrane; Single-pass type I membrane protein; Nucleus; Cytoplasm; Secreted;
P07947,Nucleus; Mitochondrion; Mitochondrion outer membrane; Multi-pass membrane protein; Nucleus; Cytoplasm; Membrane; Peripheral membrane protein; Cytoplasm; nucleoplasm; Nucleus; Nucleus; PML body; Cell membrane; Single-pass type I membrane protein; Secreted; Secreted; Secreted; Secreted; Secreted; Cytoplasm; cell cortex; Cytoplasm; Nucleus; Lipid droplet; nuclear body; Membrane; Single-pass type I membrane protein; Secreted; Cytoplasm; Nucleus; Nucleus matrix; Nucleus; Nucleus membrane; Peripheral membrane protein; cytosol; Nucleus; Cell membrane; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytosol; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted; Cytoplasm; Cell membrane; Single-pass membrane protein; Secreted; Nucleus; Cytoplasm;
P43403,Cytoplasm; Cell membrane; Peripheral membrane protein; synapse; cytoskeleton; Nucleus;
Q2M2I8,Cell membrane; Peripheral membrane protein; clathrin-coated pit; coated pit; Membrane; Cell junction; presynapse; synapse; clathrin-coated pit; coated pit;
